op_unique_carrier,carrier_avg_dep_delay,carrier_avg_taxi_out,carrier_avg_wheels_off,carrier_avg_wheels_on,carrier_avg_taxi_in,carrier_avg_arr_delay,carrier_avg_crs_elapsed_time,carrier_avg_actual_elapsed_time,carrier_avg_air_time,carrier_avg_carrier_delay,carrier_avg_weather_delay,carrier_avg_nas_delay,carrier_avg_security_delay,carrier_avg_late_aircraft_delay,carrier_avg_total_add_gtime,carrier_avg_longest_add_gtime
9E,10.5502521152913,21.3991042855896,1360.58663206106,1463.70077582952,7.3994649171596,3.78825376833048,108.949979091579,102.19465093812,73.4105882951136,20.5449199312404,5.28724102053741,21.2274947977925,0.0193386410929159,31.6742965710667,47.8944014565316,46.8099681383705
9K,-2.7293550331525,8.19590114526823,1264.33333333333,1320.36106088005,4.87281494876432,-1.41389728096677,47.2727272727273,48.629003021148,35.5613293051359,26.7702702702703,0.236486486486486,4.22297297297297,0.0,16.9527027027027,15.0,15.0
AA,11.1081008416587,18.6841695408537,1345.10578448491,1459.00298502891,9.50325935399314,6.20912791038777,168.790864078191,164.143295011594,135.975222190968,21.5460572346771,3.41876767467165,14.7692602376753,0.111053470287929,25.1553828104424,39.7127815354578,39.0175022662297
AS,3.8024507961626,19.0082024146167,1345.68903448972,1472.34930007666,8.12656460152801,0.458070929415826,202.201343636243,199.214320011746,172.088673674687,13.7865306721125,1.36651961503311,18.8460019631957,0.16133181392515,16.1135381525651,23.0667949951877,22.7418671799808
AX,18.1184998013715,20.4201477405348,1361.61376868761,1460.99570135156,7.96356259458331,15.6141083728361,103.486368353196,101.141797396747,72.7747230442867,25.2026166293682,3.56218183606719,15.0458647910877,0.00668912770823599,42.4576150308634,44.7364831953239,43.5723331709693
B6,16.796378471349,17.9950223218808,1358.83215701636,1393.68721463887,7.3689412225745,11.3289058768938,178.455821662495,173.360964432447,148.009063781792,24.8266802195045,1.91484228742738,17.2132320301594,0.103608443074864,30.7050971108009,39.4990075426757,38.4009527590314
C5,25.9521215368739,24.4103270052679,1400.61071464069,1467.80871121718,8.28870326173429,23.2972264054973,98.942224111867,96.2633368905024,63.5774382398995,19.6064091045223,4.02261156034741,24.7565438754118,0.00392333033842468,41.0621443545972,63.6910299003322,62.1154485049834
CP,10.161674219815,18.9837139037152,1383.7447230732,1488.05299871544,9.46670667761703,5.75292040063258,114.45778178218,109.797590933052,81.3627200843437,26.4362724258141,1.91029674347419,11.3935889805289,0.0372133888841652,33.6461752118584,33.5125984251968,32.9755905511811
DL,7.81322701145863,17.2436503594974,1356.68716104214,1479.10266371445,7.52090387132836,0.464917266347182,152.907504998211,145.578275777462,120.827600522191,23.4552798213828,5.08964898795798,18.4792357527177,0.0540426777936386,19.8299366787453,40.1701164294955,39.3960450933284
EM,5.93846058502727,8.11925042589438,1310.42298827538,1349.9640453952,3.84905091895149,6.43923773820681,33.6108924270019,34.1202124336145,22.3496932515337,13.7231145251397,1.55272346368715,3.50209497206704,0.0555167597765363,41.2992318435754,19.2166666666667,18.6833333333333
EV,14.2639897230875,20.1020654197867,1363.36796866133,1466.17649965169,8.13472084551907,11.4602180918349,105.363027541231,102.565841512547,74.3379500106184,27.3176557366056,3.27339904781063,27.6093877824717,0.0,25.4856433983773,46.1727306137449,46.1727306137449
F9,16.9710476751733,16.7014388345878,1340.46095518154,1425.75687256117,10.4211663325216,11.2941488682438,170.721741037167,165.151789419915,138.033737189924,19.1907410124725,0.877153338224505,15.3315040352164,0.0,35.4148495964784,34.3042168674699,33.410140562249
G4,11.4580602294073,13.0067493305623,1338.67594220854,1509.45932464313,6.80703446759167,8.94875147143537,139.605502720089,137.128419365342,117.318751721892,26.3263583652857,4.88887590012158,10.4548536425699,0.17132703637894,29.969582904704,26.6402116402116,26.0350529100529
G7,14.2936237858356,19.8053226284256,1354.64370915378,1462.41353956295,7.63942871654715,8.64522308438409,109.896335801529,104.050273098164,76.6184263968622,25.4005774840745,3.94710364946121,16.3845924867536,0.00351253199976186,43.9346609513604,35.9657007687759,35.030159668835
HA,1.10489372515022,12.0066910230269,1302.54449620005,1414.81554425837,7.25082535885167,0.747958866063305,114.628868562837,114.091162668199,94.8382176890293,27.3709013016971,1.646070192783,0.783929257977701,0.373647498214972,12.3222936233317,21.6223564954683,21.5271903323263
KS,19.1441605839416,6.71449487554905,1356.99890230516,1582.64884929473,3.18573551263001,17.3620949510173,142.017516421645,140.572400756144,130.747730711044,22.2796442687747,4.53458498023715,11.7233201581028,0.0,18.3537549407115,11.0,7.0
MQ,8.58693591784365,18.8315457602091,1362.085544104,1454.20283645222,8.82481088654524,6.19253778652698,100.114994295998,97.9861983250475,70.3424160021354,14.6848800630776,5.4088259918877,17.0586313128439,0.0468692846053177,25.6017248807134,48.5077989601387,47.4545927209705
NK,10.4426076430918,15.2260267592176,1378.109868759,1443.85116385552,9.78000947695715,5.13504346434857,165.468890383393,160.208452882513,135.210516772439,14.3478932401807,2.49722129999856,34.8770010248712,0.162420428136322,19.9755763095977,36.9223394055609,36.4803451581975
OH,11.3556090303242,17.7847289106722,1376.60639202399,1464.82300831747,8.53179859523181,7.45728919502942,95.4026429351495,91.5823318921348,65.2750643424828,17.9703940019481,4.0996845482248,10.6561486287231,0.0844660107414457,34.269394028757,46.1385697538101,45.1631887456038
