origin,origin_avg_dep_delay,origin_avg_taxi_out,origin_avg_wheels_off,origin_avg_wheels_on,origin_avg_taxi_in,origin_avg_arr_delay,origin_avg_crs_elapsed_time,origin_avg_actual_elapsed_time,origin_avg_air_time,origin_avg_carrier_delay,origin_avg_weather_delay,origin_avg_nas_delay,origin_avg_security_delay,origin_avg_late_aircraft_delay,origin_avg_total_add_gtime,origin_avg_longest_add_gtime
ABE,2.39173889969927,15.1486295313882,1218.19336870027,1340.5142351901,10.7389920424403,-1.20309460654288,118.085411140584,114.49142351901,88.6038019451813,7.92447777182646,2.12640599892876,13.7905731119443,0.0332083556507766,20.4252811997858,31.0869565217391,31.0869565217391
ABI,2.29040156709109,13.0200783545544,1131.04750244858,1187.74706170421,10.4664544564153,-0.40230166503428,60.6554848188051,57.9627815866797,34.4762487757101,11.5334346504559,4.53495440729483,8.08662613981763,0.0516717325227964,16.0106382978723,20.8571428571429,20.8571428571429
ABQ,4.17846804296488,13.1012036261141,1233.99061095452,1386.47436581092,7.96924278205226,-0.96571950940809,121.99207739773,116.845128361393,95.7746819532262,9.70081070647278,1.00540470981856,10.2127139364303,0.277827821387209,20.4038090335864,21.3701657458564,21.1491712707182
ABR,-0.308896797153025,18.155871886121,956.856227758007,1031.71245551601,8.28896797153025,-5.02775800711744,77.464768683274,72.7459074733096,46.3010676156584,6.83453237410072,3.13669064748201,12.1223021582734,0.201438848920863,20.6330935251799,27.0,27.0
ABY,2.80842105263158,13.8352510460251,1176.72228033473,1238.18253138075,8.36244769874477,-0.872384937238494,62.9696652719665,59.3064853556485,37.1087866108787,5.07692307692308,1.68076923076923,9.90384615384615,0.107692307692308,28.9653846153846,19.6666666666667,19.6666666666667
ACK,5.40724381625442,17.0613686534216,1373.37395143488,1447.79558498896,8.83399558498896,2.45121412803532,77.3810154525386,74.4273730684327,48.5320088300221,5.52651515151515,0.90719696969697,21.1590909090909,0.278409090909091,22.4488636363636,41.8571428571429,39.7142857142857
ACT,0.740960099750623,12.5277431421446,1260.51122194514,1308.79145885287,10.6942019950125,-1.24283042394015,52.9373441396509,50.9535536159601,27.731608478803,6.18801652892562,2.61776859504132,8.4400826446281,0.0309917355371901,21.5165289256198,31.0,31.0
ACV,3.53138075313808,12.7331831348568,1150.56935951078,1255.1738010943,9.58706147409076,0.770840038622465,87.2198261989057,84.4592854843901,62.1390408754425,5.32624113475177,0.173758865248227,17.7535460992908,0.129432624113475,26.1418439716312,25.6,25.6
ACY,-0.8497241155469,11.3833171048361,1168.77815644271,1369.28075300227,10.0652385589094,-5.44336254462837,148.988802336904,144.395163907822,122.946608244077,6.73093525179856,0.955395683453237,24.0546762589928,0.0762589928057554,9.95539568345324,27.3181818181818,27.3181818181818
ADK,7.78238341968912,9.36787564766839,1754.62176165803,2096.99481865285,4.06735751295337,3.67357512953368,163.751295336788,159.642487046632,146.20725388601,3.72131147540984,1.16393442622951,5.29508196721311,28.8196721311475,4.65573770491803,14.0,14.0
ADQ,-3.69362745098039,7.85457516339869,1302.26797385621,1369.13071895425,3.89052287581699,-2.92565359477124,51.7614379084967,52.5294117647059,40.7843137254902,7.81645569620253,1.63291139240506,4.5126582278481,0.974683544303797,22.1898734177215,16.0,16.0
AEX,-0.237562972292191,16.6281264747522,1172.81390593047,1310.71480257983,10.4684599653925,-2.64464369985842,88.2998269624036,85.8941324524147,58.7975460122699,4.08632395732299,2.86711930164888,16.4141610087294,0.0475266731328807,17.9544131910766,29.6296296296296,29.6296296296296
AGS,3.96553839860926,16.5375816993464,1251.72937091503,1309.03941993464,12.3889910130719,-0.503472222222222,70.1631944444444,65.6994485294118,36.7728758169935,8.46225165562914,1.67019867549669,8.91456953642384,0.0801324503311258,23.5960264900662,24.8461538461538,24.8461538461538
AKN,-0.894308943089431,9.15447154471545,1766.24390243902,1843.16260162602,3.96747967479675,-0.560975609756098,56.5365853658537,56.869918699187,43.7479674796748,2.27777777777778,0.0,5.55555555555556,19.1666666666667,2.55555555555556,,
ALB,2.8631730386605,14.8623159570235,1195.79457589764,1328.09911536931,8.51424898221556,-2.80605466956442,123.136735131164,117.46689522177,94.0903302825308,9.90266159695818,1.30076045627376,15.3298479087452,0.0298479087452471,17.6595057034221,29.1428571428571,29.1428571428571
ALO,2.5453125,15.00390625,971.45703125,1046.85390625,15.74921875,1.43046875,76.67109375,75.55625,44.803125,10.3141592920354,1.91150442477876,17.1592920353982,0.0,15.6061946902655,32.0,32.0
