tail_num,tail_num_avg_dep_delay,tail_num_avg_taxi_out,tail_num_avg_wheels_off,tail_num_avg_wheels_on,tail_num_avg_taxi_in,tail_num_avg_arr_delay,tail_num_avg_crs_elapsed_time,tail_num_avg_actual_elapsed_time,tail_num_avg_air_time,tail_num_avg_carrier_delay,tail_num_avg_weather_delay,tail_num_avg_nas_delay,tail_num_avg_security_delay,tail_num_avg_late_aircraft_delay,tail_num_avg_total_add_gtime,tail_num_avg_longest_add_gtime
215NV,5.97744700045106,12.9336941813261,1332.17365809653,1523.97880018042,6.63915200721696,2.96617050067659,145.368064952639,142.356788452864,122.783942264321,12.8256070640177,2.55187637969095,8.77041942604857,0.1280353200883,20.7284768211921,19.1666666666667,19.1666666666667
216NV,2.94901315789474,12.9798519736842,1281.79605263158,1454.18174342105,7.11348684210526,0.386101973684211,135.280427631579,132.717516447368,112.624177631579,10.9149425287356,3.2551724137931,11.0827586206897,0.174712643678161,18.135632183908,16.25,16.25
217NV,4.40977112676056,12.7698063380282,1301.49383802817,1471.27992957746,7.20862676056338,2.67869718309859,134.594190140845,132.863116197183,112.884683098592,12.9295454545455,2.18181818181818,9.92954545454545,0.202272727272727,18.7045454545455,16.9090909090909,16.9090909090909
218NV,4.00866694180768,12.642591828312,1320.61246388774,1488.52373091209,6.87742468014858,1.73338836153529,132.298390425093,130.02311184482,110.50309533636,12.2251082251082,2.53463203463203,8.35930735930736,0.0216450216450216,19.3095238095238,20.4545454545455,20.4545454545455
219NV,2.4235629841011,12.3750509580106,1310.12189156135,1490.67672238076,6.63269465960049,-0.521810028536486,135.202609050143,132.257236037505,113.249490419894,11.2200956937799,4.5622009569378,9.02392344497608,0.0191387559808612,19.0478468899522,25.0,25.0
220NV,5.63765541740675,12.2722024866785,1311.16341030195,1502.99822380107,6.46936056838366,2.96714031971581,143.095914742451,140.42539964476,121.683836589698,12.0778947368421,1.4,7.37684210526316,0.286315789473684,21.1852631578947,22.6363636363636,22.6363636363636
221NV,4.89310344827586,12.4753694581281,1302.65369458128,1498.54039408867,6.61182266009852,2.50985221674877,146.381773399015,143.998522167488,124.911330049261,13.9902676399027,2.7639902676399,8.68126520681265,0.204379562043796,17.3552311435523,16.6363636363636,16.6363636363636
222NV,5.93562231759657,13.0309012875536,1310.29055793991,1473.01888412017,7.04678111587983,4.30515021459227,133.200429184549,131.569957081545,111.492274678112,12.0684410646388,2.26235741444867,9.54562737642586,0.0874524714828897,21.9847908745247,22.6428571428571,22.6428571428571
223NV,2.88176352705411,12.6901803607214,1301.96673346693,1481.4120240481,6.71943887775551,0.318637274549098,136.327855711423,133.764729458918,114.355110220441,11.009324009324,2.9044289044289,9.07925407925408,0.342657342657343,19.3986013986014,18.4444444444444,18.4444444444444
224NV,4.89977728285078,12.8838158871566,1304.7988121752,1473.9558277654,7.25204157386785,3.20675575352635,132.997772828508,131.304751299183,111.168893838159,10.7036395147314,2.65164644714038,10.78856152513,0.0155979202772964,21.4974003466205,20.7,20.0
225NV,6.35733215547703,12.6285335689046,1324.27915194346,1495.96378091873,6.72747349823322,3.11528268551237,133.381625441696,130.139575971731,110.783568904594,12.6318082788671,2.25925925925926,8.52723311546841,0.278867102396514,24.3747276688453,18.25,18.25
226NV,7.13917525773196,12.8412371134021,1300.02010309278,1470.00257731959,6.92628865979381,4.88041237113402,138.45206185567,136.193298969072,116.425773195876,12.4346895074946,3.98072805139186,9.00642398286938,0.134903640256959,20.948608137045,32.0769230769231,32.0769230769231
227NV,5.24702108157654,12.7919340054995,1301.34005499542,1474.28368469294,6.81714023831347,2.82401466544455,135.653987167736,133.230980751604,113.621906507791,12.1991434689507,3.55674518201285,8.93361884368308,0.0256959314775161,19.9914346895075,20.75,20.75
228NV,4.07304347826087,12.2113043478261,1305.29956521739,1488.86652173913,6.64260869565217,0.0152173913043478,143.322173913043,139.264347826087,120.410434782609,15.7917675544794,2.2953995157385,7.00242130750605,0.0484261501210654,18.4648910411622,17.3333333333333,17.3333333333333
229NV,6.5089605734767,12.5183691756272,1303.4896953405,1497.89919354839,6.88620071684588,4.0828853046595,145.209677419355,142.783602150538,123.379032258065,11.8192307692308,1.86346153846154,9.70961538461538,0.0326923076923077,21.2884615384615,27.1428571428571,27.1428571428571
230NV,2.56877605153467,12.8143236074271,1318.83099658962,1484.07805987116,6.81773399014778,-0.80106100795756,130.113300492611,126.743463433119,107.111405835544,10.2307692307692,2.83374689826303,9.77915632754342,0.0446650124069479,19.2258064516129,21.2222222222222,21.2222222222222
