op_carrier_fl_num,avg_arr_delay,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_late_aircraft_delay,avg_dep_delay
6377,7.66167664670659,22.1408450704225,1.47887323943662,12.4507042253521,33.6056338028169,12.2470238095238
6378,4.15693430656934,35.8461538461538,6.28205128205128,6.1025641025641,25.4102564102564,8.57664233576642
6379,14.3040201005025,37.7894736842105,6.07894736842105,15.0614035087719,8.85087719298246,14.8065326633166
6380,10.2369942196532,38.7241379310345,6.8448275862069,8.81034482758621,44.3620689655172,15.771676300578
6381,-1.4093567251462,14.8787878787879,0.212121212121212,3.24242424242424,17.3030303030303,6.70348837209302
6382,6.07716049382716,46.0444444444444,15.3777777777778,7.22222222222222,22.3333333333333,11.9228395061728
6383,6.40751879699248,34.1304347826087,14.3826086956522,6.24347826086957,22.9913043478261,12.0763473053892
6384,-6.72368421052632,24.3469387755102,3.81632653061224,3.85714285714286,26.2448979591837,5.578125
6385,2.95698924731183,18.3333333333333,0.0,1.38888888888889,21.0,11.3763440860215
6386,9.52336448598131,13.2941176470588,1.54901960784314,13.1372549019608,24.5490196078431,13.9348837209302
6387,2.30722891566265,7.48,2.6,5.24,41.56,11.5421686746988
6388,17.7261904761905,14.6451612903226,1.83870967741935,5.70967741935484,27.0322580645161,22.6071428571429
6389,4.1,83.6666666666667,0.0,0.0,32.8333333333333,17.14
6390,4.9740932642487,11.4246575342466,0.150684931506849,4.98630136986301,31.4931506849315,6.94329896907217
6391,-3.13183279742765,11.85,0.0,5.5,16.0,-3.66881028938907
6392,2.82089552238806,29.125,0.0,4.33333333333333,50.2083333333333,6.39800995024876
6393,6.51091703056769,31.2894736842105,0.868421052631579,9.02631578947368,7.52631578947368,7.22608695652174
6394,4.43880597014925,17.0714285714286,0.642857142857143,5.01428571428571,22.0714285714286,10.4507462686567
6395,0.826732673267327,31.5666666666667,0.866666666666667,5.2,3.63333333333333,3.4656862745098
6396,-5.95167286245353,2.48148148148148,3.74074074074074,4.48148148148148,39.7777777777778,-2.15985130111524
6397,4.38442211055276,13.9354838709677,0.0,5.70967741935484,21.3709677419355,7.11528822055138
6398,4.98986486486486,10.5714285714286,3.94642857142857,2.39285714285714,30.6964285714286,9.16835016835017
6399,-5.24029574861368,20.6885245901639,0.0,5.95081967213115,14.8032786885246,1.0
6400,1.21296296296296,16.5681818181818,0.0,3.68181818181818,19.3181818181818,8.90740740740741
6401,0.490322580645161,11.9259259259259,0.0,7.18518518518519,22.1851851851852,8.34838709677419
6402,3.39393939393939,42.0,0.0,11.6666666666667,9.08333333333333,11.1969696969697
6403,10.2686567164179,29.0,0.0,1.61111111111111,22.9444444444444,20.9253731343284
6404,10.796875,11.7837837837838,0.891891891891892,6.64864864864865,33.972972972973,23.046875
6405,-0.948275862068966,23.3103448275862,0.0,4.79310344827586,20.5862068965517,6.16309012875536
6406,10.0224719101124,7.07692307692308,0.0,9.76923076923077,36.1923076923077,17.9775280898876
6407,1.82142857142857,31.0,0.0,26.6666666666667,0.0,7.17857142857143
6408,10.7047619047619,10.7037037037037,7.85185185185185,2.7037037037037,36.8518518518519,17.8761904761905
6409,1.44171779141104,16.8928571428571,0.0,2.82142857142857,15.1428571428571,9.93251533742331
6410,11.7094972067039,12.4347826086957,0.0,5.65217391304348,45.9565217391304,16.8222222222222
6411,10.9396984924623,17.0566037735849,0.0,8.28301886792453,23.6603773584906,14.4773869346734
6412,4.18072289156626,13.45,0.0,1.9,27.75,12.4819277108434
6413,5.43478260869565,16.05,0.0,4.15,29.75,14.6413043478261
6414,9.00961538461539,6.25925925925926,2.37037037037037,5.44444444444444,40.3333333333333,17.7403846153846
6415,19.3980582524272,25.2857142857143,0.0,10.2571428571429,34.5142857142857,25.1067961165049
6416,3.48901098901099,13.780487804878,0.365853658536585,10.5121951219512,23.4878048780488,12.3606557377049
6417,11.0070175438596,12.7894736842105,0.25,4.93421052631579,32.7763157894737,16.8456140350877
6418,2.28947368421053,12.0344827586207,0.482758620689655,0.724137931034483,32.6896551724138,10.6776315789474
6419,-9.225,16.75,0.0,1.0,8.0,0.9125
6420,-1.0,3.42857142857143,3.14285714285714,5.0,19.7142857142857,5.38709677419355
6421,3.49367088607595,7.28571428571429,3.0952380952381,4.66666666666667,20.8571428571429,20.3544303797468
6422,8.44881889763779,24.1428571428571,0.0,9.60714285714286,22.0714285714286,13.6141732283465
6423,9.76433121019108,13.2142857142857,1.71428571428571,3.73809523809524,30.7380952380952,14.6012658227848
6424,7.52777777777778,28.8,0.0,2.3,29.3,12.75
6425,7.37857142857143,15.3611111111111,1.33333333333333,4.27777777777778,29.9444444444444,13.5428571428571
6426,-0.581818181818182,25.5555555555556,0.0,0.444444444444444,14.8888888888889,9.36363636363636
6427,2.704,8.68,1.04,8.72,31.8,11.888
6428,-2.32,13.5,0.0,0.75,20.875,4.65333333333333
6429,14.5178571428571,21.9375,2.1875,7.875,33.4375,23.7678571428571
6430,-1.0,3.63636363636364,3.72727272727273,15.9090909090909,19.0909090909091,4.73611111111111
6431,4.50505050505051,19.2272727272727,1.45454545454545,4.86363636363636,16.5,11.3564356435644
6432,2.75308641975309,13.25,1.1875,8.4375,22.9375,11.2716049382716
6433,7.37914691943128,8.89830508474576,0.0,2.83050847457627,27.0677966101695,13.2890995260664
6434,2.97674418604651,13.1111111111111,0.0,8.44444444444444,18.3333333333333,10.4651162790698
6435,7.64406779661017,11.0,0.0,8.4,33.6,15.5932203389831
6436,1.93814432989691,6.85714285714286,0.0,2.28571428571429,22.3571428571429,6.95876288659794
6437,-2.72321428571429,3.2,0.0,0.5,29.3,4.38392857142857
6438,14.3414634146341,4.24390243902439,2.41463414634146,23.6341463414634,20.9756097560976,17.3170731707317
6439,-1.1219512195122,18.4285714285714,0.0,2.28571428571429,17.4285714285714,8.95121951219512
6440,2.75,21.3333333333333,0.0,4.08333333333333,15.0833333333333,10.5625
6441,-0.473684210526316,6.5,0.0,3.75,25.3333333333333,6.17894736842105
6442,-0.484304932735426,12.8888888888889,0.111111111111111,2.33333333333333,22.962962962963,6.41255605381166
6443,12.0912408759124,15.2236842105263,3.65789473684211,7.48684210526316,29.3684210526316,17.3138686131387
6444,-0.202702702702703,18.1111111111111,0.0,7.22222222222222,10.7777777777778,5.97297297297297
